Created-At,From-User,From-User-Id,To-User,To-User-Id,Language,Source,Text,Retweet-Count,Id,Score,Scoring String,Negativity,Positivity,Uncovered Tokens,Total Tokens,sentiment,confidence(neutral),confidence(negative),confidence(positive),prediction(sentiment)
2023-02-26 08:16:32,Tracerr Bullett,1506866276245060000.0,AJLP78,1527968760984130000.0,en,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","@AJLP78 @Mahiyank_78 You have trophies ???????? You also have 2 year ban.. Dont forget that... You are a Tainted Team. ?????? If you are concerned about the banks, you repay them. Anyways you guys do a lot of illegal stuff like fixing & betting. Be a little concerned about playing cricket genuinely",.0,1629666695685210000.0,-1.0,ban (-0.67)  forget (-0.23)  illegal (-0.67)  like (0.38)  playing (0.21),1.6,.6,60.0,65.0,negative,.0,1.0,.0,negative
2023-02-25 23:48:25,India Bets,836864040240562000.0,,-1.0,en,"<a href=""https://www.indiabet.com"" rel=""nofollow"">IndiaBet Bot</a>","RT @Jayd09781009: @anonymous6393_ @vivekvenkat17 @Shiv_2123 @Cricketracker U start watching cricket in lockdown
They ban for betting not fo…",1.0,1629538824618390000.0,-.7,ban (-0.67),.7,.0,25.0,26.0,negative,.0,1.0,.0,negative
2023-02-25 22:59:42,Jayd,1330774107579830000.0,anonymous6393_,1567346504427510000.0,en,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","@anonymous6393_ @vivekvenkat17 @Shiv_2123 @Cricketracker U start watching cricket in lockdown
They ban for betting not for fixing like mi buying umpires",1.0,1629526562625440000.0,-.3,ban (-0.67)  like (0.38),.7,.4,25.0,27.0,negative,.0,1.0,.0,negative
2023-02-25 20:58:30,Adnaan,219761225.0,,-1.0,en,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","RT @MillerRyan89: @BCBerc20 

?Working Product
?Live Betting (My selection below)
?2000+ Arcades Games/Casinos
?Massive Community
?Dedicate…",100.0,1629496064205050000.0,.0,,.0,.0,25.0,25.0,neutral,1.0,.0,.0,neutral
2023-02-25 20:48:27,India Bets,836864040240562000.0,,-1.0,en,"<a href=""https://www.indiabet.com"" rel=""nofollow"">IndiaBet Bot</a>",RT @basitj: How unhealthy sponsors like cigarettes and cold drinks were usually seen on sports. See cricket Wills cup 1996 here. I'm sure s…,1.0,1629493535169740000.0,.1,unhealthy (-0.62)  like (0.38)  sure (0.33),.6,.7,26.0,29.0,positive,.0,.0,1.0,positive
2023-02-25 20:48:25,India Bets,836864040240562000.0,,-1.0,en,"<a href=""https://www.indiabet.com"" rel=""nofollow"">IndiaBet Bot</a>","RT @basitj: Betting companies today are a similar negative trend in sports sponsors, not only in cricket but in all sports. On one hand pla…",1.0,1629493525346760000.0,-.1,negative (-0.69)  hand (0.56),.7,.6,27.0,29.0,negative,.0,1.0,.0,negative
2023-02-25 20:20:43,Basit Ali,16802468.0,,-1.0,en,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",How unhealthy sponsors like cigarettes and cold drinks were usually seen on sports. See cricket Wills cup 1996 here. I'm sure soon betting companies will be regularized or banned from sponsoring sports. It doesn't make sense. We still have Coke/Pepsi & other drinks doing it 1/.. https://t.co/NHfLLVSZct,1.0,1629486555482980000.0,-.4,unhealthy (-0.62)  like (0.38)  sure (0.33)  banned (-0.51),1.1,.7,59.0,63.0,negative,.0,1.0,.0,negative
2023-02-25 19:48:25,India Bets,836864040240562000.0,,-1.0,en,"<a href=""https://www.indiabet.com"" rel=""nofollow"">IndiaBet Bot</a>",RT @VinSukh: @ndtv Legalise betting in Cricket! @PMOIndia,1.0,1629478427098060000.0,.0,,.0,.0,13.0,13.0,neutral,1.0,.0,.0,neutral
2023-02-25 18:48:40,India Bets,836864040240562000.0,,-1.0,en,"<a href=""https://www.indiabet.com"" rel=""nofollow"">IndiaBet Bot</a>",RT @cribettingtips: Multan Sultan vs Karachi Kings 14th PSL 2023 Today’s Match Prediction Report & Free Cricket Betting Tips CBTF https://t…,1.0,1629463389935110000.0,.6,free (0.59),.0,.6,25.0,26.0,positive,.0,.0,1.0,positive
2023-02-25 18:48:28,India Bets,836864040240562000.0,,-1.0,en,"<a href=""https://www.indiabet.com"" rel=""nofollow"">IndiaBet Bot</a>",RT @Harihar39328818: @EmiratesCricket @ILT20Official @NatSportUAE @GulfNewsSport @khaleejtimes @gulftoday @ARNNewsCentre @ilt20onzee @DPWor…,1.0,1629463336776600000.0,.0,,.0,.0,22.0,22.0,neutral,1.0,.0,.0,neutral
2023-02-25 18:40:12,Golden Company,1592391736227410000.0,,-1.0,en,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","RT @GoldenCompany98: Join now ????
https://t.co/PHXcAndA5z 

Play cricket ?? & casino ?? & jeeto Dher sare paise. 

Instant Deposit & Withdrawa…",2.0,1629461258570450000.0,.7,join (0.31)  play (0.36),.0,.7,34.0,36.0,positive,.0,.0,1.0,positive
2023-02-25 18:13:00,Hariharan,1441806660989700000.0,EmiratesCricket,2827576903.0,en,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",@EmiratesCricket @ILT20Official @NatSportUAE @GulfNewsSport @khaleejtimes @gulftoday @ARNNewsCentre @ilt20onzee @DPWorldUAE @DubaiStadium @sharjahstadium @adsportshub Your cricket association and your whole team proud to be sucking there betting site pennis,1.0,1629454411968940000.0,.5,proud (0.54),.0,.5,38.0,39.0,positive,.0,.0,1.0,positive
2023-02-25 18:06:15,Ed Hawkins,69566782.0,,-1.0,en,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",Karachi Kings v Multan Sultans PSL Tips: Can Kings go close again? https://t.co/57rvN3Aj5U,1.0,1629452713913120000.0,.0,,.0,.0,20.0,20.0,neutral,1.0,.0,.0,neutral
2023-02-25 18:04:20,CBTF Arnav,3245773160.0,,-1.0,en,"<a href=""http://publicize.wp.com/"" rel=""nofollow"">Jetpack.com</a>",Multan Sultan vs Karachi Kings 14th PSL 2023 Today’s Match Prediction Report & Free Cricket Betting Tips CBTF https://t.co/BVRQhwjFYQ,1.0,1629452233795420000.0,.6,free (0.59),.0,.6,23.0,24.0,positive,.0,.0,1.0,positive
2023-02-25 17:48:47,India Bets,836864040240562000.0,,-1.0,en,"<a href=""https://www.indiabet.com"" rel=""nofollow"">IndiaBet Bot</a>",RT @decksmithscom: 6 Cricket Betting Rules All Beginners Should Follow https://t.co/69lJzyxGFa #poker #blackjack #vegas,2.0,1629448320694230000.0,.0,,.0,.0,24.0,24.0,neutral,1.0,.0,.0,neutral
2023-02-25 17:48:36,India Bets,836864040240562000.0,,-1.0,en,"<a href=""https://www.indiabet.com"" rel=""nofollow"">IndiaBet Bot</a>","RT @VyasDirghayu: Ahmedabad Cops Bowled By Rs 170,70,43,359.85 Crore Cricket... https://t.co/kA81Syd1vi
@DeepalTrevedie @VoI_Gujarati @Guja…",1.0,1629448271910380000.0,.0,,.0,.0,32.0,32.0,neutral,1.0,.0,.0,neutral
2023-02-25 17:48:28,India Bets,836864040240562000.0,,-1.0,ta,"<a href=""https://www.indiabet.com"" rel=""nofollow"">IndiaBet Bot</a>",RT @Patrikaidotcom: ?????????? ????????????? ??. 1800 ???? ?????.. ?????? ???????? ?????? ?????????... ?? ????????? ??????? ??. 50 ??????..…,1.0,1629448237068300000.0,.0,,.0,.0,29.0,29.0,neutral,1.0,.0,.0,neutral
2023-02-25 17:48:25,India Bets,836864040240562000.0,,-1.0,en,"<a href=""https://www.indiabet.com"" rel=""nofollow"">IndiaBet Bot</a>","RT @GoldenCompany98: Join now ????
https://t.co/PHXcAndA5z 

Play cricket ?? & casino ?? & jeeto Dher sare paise. 

Instant Deposit & Withdrawa…",2.0,1629448227438190000.0,.7,join (0.31)  play (0.36),.0,.7,34.0,36.0,positive,.0,.0,1.0,positive
2023-02-25 17:08:44,patrikai.com,3248503542.0,,-1.0,ta,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","?????????? ????????????? ??. 1800 ???? ?????.. ?????? ???????? ?????? ?????????... ?? ????????? ??????? ??. 50 ??????... 
https://t.co/1taFvbBXr1

#Cricket #Betting #BettingRacket #Ahmedabad #Gujarat #Bookies",1.0,1629438241614220000.0,.0,,.0,.0,46.0,46.0,neutral,1.0,.0,.0,neutral
2023-02-25 16:21:06,Betting Baba ??,1541126558965850000.0,,-1.0,en,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","BOOM ????

Namibia 1st over under 2.5 ?

Cash the 1U play ????

Cricket plays 34-6

Guys I'm spoon feeding you ,if you don't like easy cash you can keep ignoring

#GamblingTwitter #UAEvNAM https://t.co/jNbM3E0Tuj",2.0,1629426253173520000.0,1.1,play (0.36)  plays (0.26)  like (0.38)  easy (0.49)  ignoring (-0.44),.4,1.5,46.0,51.0,positive,.0,.0,1.0,positive
2023-02-25 16:02:03,NewsCluster,1517545007212870000.0,,-1.0,en,"<a href=""https://dlvrit.com/"" rel=""nofollow"">dlvr.it</a>",RT @decksmithscom: 6 Cricket Betting Rules All Beginners Should Follow https://t.co/69lJzyxGFa #poker #blackjack #vegas,2.0,1629421456944940000.0,.0,,.0,.0,24.0,24.0,neutral,1.0,.0,.0,neutral
2023-02-25 16:01:33,Deck Smiths,1607048864741180000.0,,-1.0,en,"<a href=""https://dlvrit.com/"" rel=""nofollow"">dlvr.it</a>",6 Cricket Betting Rules All Beginners Should Follow https://t.co/69lJzyxGFa #poker #blackjack #vegas,2.0,1629421330864170000.0,.0,,.0,.0,20.0,20.0,neutral,1.0,.0,.0,neutral
2023-02-25 12:23:02,Betting Baba ??,1541126558965850000.0,,-1.0,en,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Live bet Cricket ??

UAE 50 over runs U 200.5 1U @ 2.0

#GamblingTwitter #CricketTwitter",.0,1629366338958540000.0,-1.0,bet (-1.00),1.0,.0,21.0,22.0,negative,.0,1.0,.0,negative
2023-02-25 12:12:11,RahulSinh_Gohel????,1150944789237420000.0,,-1.0,und,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","RT @DeepalTrevedie: Gambling, betting, Cricket Satta in Gujarat is Big.
Making money by hook or crook seems to have become a passion. 
#???…",4.0,1629363611247460000.0,.5,passion (0.51),.0,.5,30.0,31.0,positive,.0,.0,1.0,positive
2023-02-25 11:52:32,FairPlay,1301769484630330000.0,,-1.0,en,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","The only platform in India that has been designed for its audience to maximize their profits with unbelievable bonuses is Fairplay, India's most trusted betting platform.

#Fairplay #bet #BETTING #PlayAndWin #Cricket #WinBig #cricketlife #Khelja #instantmoney #money #win #BIGWIN https://t.co/UDIVefB8iB",.0,1629358664141410000.0,1.6,profits (0.49)  unbelievable (0.21)  bonuses (0.67)  trusted (0.54)  bet (-1.00)  win (0.72),1.0,2.6,54.0,60.0,positive,.0,.0,1.0,positive
2023-02-25 11:52:20,Golden Company,1592391736227410000.0,,-1.0,en,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Join now ????
https://t.co/PHXcAndA5z 

Play cricket ?? & casino ?? & jeeto Dher sare paise. 

Instant Deposit & Withdrawal
GET YOUR ID NOW 

Asia's Top Most Trusted 
Golden Company
License betting company. 

Whatsapp For Any HeLp ????
24*7 support ??
https://t.co/3HZC2j6Tkp https://t.co/Kg6sOPeFNC",.0,1629358613092540000.0,2.3,join (0.31)  play (0.36)  withdrawal (0.03)  top (0.21)  trusted (0.54)  help (0.44)  support (0.44),.0,2.3,66.0,73.0,positive,.0,.0,1.0,positive
2023-02-25 10:48:50,Tapan Joshi,2660949246.0,,-1.0,und,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","RT @DeepalTrevedie: Gambling, betting, Cricket Satta in Gujarat is Big.
Making money by hook or crook seems to have become a passion. 
#???…",4.0,1629342636569170000.0,.5,passion (0.51),.0,.5,30.0,31.0,positive,.0,.0,1.0,positive
2023-02-25 10:48:13,Deepal.???Trivedi #Vo!,17801716.0,,-1.0,und,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Gambling, betting, Cricket Satta in Gujarat is Big.
Making money by hook or crook seems to have become a passion. 
#?????????? ?? ???? ????? ?? ???? ??? ?????? ???? ??! https://t.co/2KQZKTtlIa",4.0,1629342477626000000.0,.5,passion (0.51),.0,.5,42.0,43.0,positive,.0,.0,1.0,positive
2023-02-25 10:28:33,Vibes of India,1377905075461320000.0,,-1.0,en,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Cricket betting in Gujarat has become a major sport. Cops bowled over! Our report:

Ahmedabad Cops Bowled By Rs 170,70,43,359.85 Crore Cricket... https://t.co/596J2slYvo",1.0,1629337530264080000.0,.0,,.0,.0,39.0,39.0,neutral,1.0,.0,.0,neutral
2023-02-25 09:29:28,Udaipur Kiran,2566260660.0,,-1.0,en,"<a href=""http://publicize.wp.com/"" rel=""nofollow"">Jetpack.com</a>",Betting odds for cricket https://t.co/KkrMGhRsIB,.0,1629322662358010000.0,.0,,.0,.0,9.0,9.0,neutral,1.0,.0,.0,neutral
2023-02-25 07:18:49,Simmo01,1496454639625330000.0,,-1.0,en,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","RT @MillerRyan89: @BCBerc20 

?Working Product
?Live Betting (My selection below)
?2000+ Arcades Games/Casinos
?Massive Community
?Dedicate…",100.0,1629289783133630000.0,.0,,.0,.0,25.0,25.0,neutral,1.0,.0,.0,neutral
2023-02-25 06:44:22,Love,423033791.0,,-1.0,en,"<a href=""https://ifttt.com"" rel=""nofollow"">IFTTT</a>","Check out https://t.co/moaGmniuwB

5 BTC sign up bonus / start betting by #bitcoin

Bet with #crypto #bitcoin #bet #aussie #australia #soccer #football #nba #cricket #game #Saturday #FIFAWorldCup #Qatar2022 https://t.co/xsO1JyMK9X",.0,1629281112512950000.0,-1.4,bonus (0.64)  bet (-1.00)  bet (-1.00),2.0,.6,53.0,56.0,negative,.0,1.0,.0,negative
2023-02-25 05:28:34,Nitin Kirit,948826582956655000.0,BovadaOfficial,827245945884643000.0,en,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","@BovadaOfficial 

#WhatsYaWager 

Hi,

 Can you please provide/make available “live betting” & all the bets available and associated with European Cricket International (ECI) - Men and Women
(ECS) European Cricket Series- Malta , ECS Gibraltar.

Thank you.",1.0,1629262038097880000.0,.7,please (0.33)  thank (0.38),.0,.7,54.0,56.0,positive,.0,.0,1.0,positive
2023-02-25 04:01:31,Polina Sato,1555169812397300000.0,,-1.0,en,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","RT @MillerRyan89: @BCBerc20 

?Working Product
?Live Betting (My selection below)
?2000+ Arcades Games/Casinos
?Massive Community
?Dedicate…",100.0,1629240130501480000.0,.0,,.0,.0,25.0,25.0,neutral,1.0,.0,.0,neutral
2023-02-25 02:48:25,India Bets,836864040240562000.0,,-1.0,en,"<a href=""https://www.indiabet.com"" rel=""nofollow"">IndiaBet Bot</a>",RT @Sugarvalentino1: @enokay69 Which ever way Boss @enokay69 even if cricket sef we still go stake because you are the magician in sports b…,1.0,1629221733428230000.0,.0,,.0,.0,28.0,28.0,neutral,1.0,.0,.0,neutral
2023-02-25 02:28:09,Sugarvalentino1,474939289.0,enokay69,724178473888129000.0,en,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",@enokay69 Which ever way Boss @enokay69 even if cricket sef we still go stake because you are the magician in sports betting I swear....we never give up??????,1.0,1629216632034810000.0,-.1,swear (-0.05),.1,.0,32.0,33.0,negative,.0,1.0,.0,negative
2023-02-25 02:08:34,Renan Brito,769994654.0,,-1.0,en,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","RT @MillerRyan89: @BCBerc20 

?Working Product
?Live Betting (My selection below)
?2000+ Arcades Games/Casinos
?Massive Community
?Dedicate…",100.0,1629211703857620000.0,.0,,.0,.0,25.0,25.0,neutral,1.0,.0,.0,neutral
2023-02-25 01:56:20,Vl,1345505124555350000.0,,-1.0,en,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","RT @MillerRyan89: @BCBerc20 

?Working Product
?Live Betting (My selection below)
?2000+ Arcades Games/Casinos
?Massive Community
?Dedicate…",100.0,1629208626022820000.0,.0,,.0,.0,25.0,25.0,neutral,1.0,.0,.0,neutral
2023-02-25 01:48:25,India Bets,836864040240562000.0,,-1.0,en,"<a href=""https://www.indiabet.com"" rel=""nofollow"">IndiaBet Bot</a>","RT @iamreddyboy: @evvpunchlu333 Kanth Scam -- Reason Cricket Betting 
Ben House construction -- Reason Cricket betting

Kanth is client of…",6.0,1629206634512750000.0,-.7,scam (-0.69),.7,.0,28.0,29.0,negative,.0,1.0,.0,negative
2023-02-25 01:27:46,Jaggu Bhai,717029396897358000.0,,-1.0,en,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","RT @iamreddyboy: @evvpunchlu333 Kanth Scam -- Reason Cricket Betting 
Ben House construction -- Reason Cricket betting

Kanth is client of…",6.0,1629201436654590000.0,-.7,scam (-0.69),.7,.0,28.0,29.0,negative,.0,1.0,.0,negative
2023-02-25 01:22:55,Jovie Brain,1538079915240820000.0,,-1.0,en,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","RT @MillerRyan89: @BCBerc20 

?Working Product
?Live Betting (My selection below)
?2000+ Arcades Games/Casinos
?Massive Community
?Dedicate…",100.0,1629200217403790000.0,.0,,.0,.0,25.0,25.0,neutral,1.0,.0,.0,neutral
2023-02-25 01:21:37,Tay Yiqi,1431632689925280000.0,,-1.0,en,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","RT @MillerRyan89: @BCBerc20 

?Working Product
?Live Betting (My selection below)
?2000+ Arcades Games/Casinos
?Massive Community
?Dedicate…",100.0,1629199890516710000.0,.0,,.0,.0,25.0,25.0,neutral,1.0,.0,.0,neutral
2023-02-25 00:48:32,India Bets,836864040240562000.0,,-1.0,en,"<a href=""https://www.indiabet.com"" rel=""nofollow"">IndiaBet Bot</a>",RT @rubi0182: CrickDAO is an attempt to bring cricket to the global map of fantasy sports. We are not trying to imitate any of the major sp…,1.0,1629191564072300000.0,.0,,.0,.0,30.0,30.0,neutral,1.0,.0,.0,neutral
2023-02-25 00:42:15,MadMax??,1507172981914720000.0,,-1.0,en,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","RT @MillerRyan89: @BCBerc20 

?Working Product
?Live Betting (My selection below)
?2000+ Arcades Games/Casinos
?Massive Community
?Dedicate…",100.0,1629189984208000000.0,.0,,.0,.0,25.0,25.0,neutral,1.0,.0,.0,neutral
2023-02-25 00:42:14,Punkys_NFTs,546445215.0,,-1.0,en,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","RT @MillerRyan89: @BCBerc20 

?Working Product
?Live Betting (My selection below)
?2000+ Arcades Games/Casinos
?Massive Community
?Dedicate…",100.0,1629189977950060000.0,.0,,.0,.0,25.0,25.0,neutral,1.0,.0,.0,neutral
2023-02-25 00:41:38,Toman,163897495.0,,-1.0,en,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","RT @MillerRyan89: @BCBerc20 

?Working Product
?Live Betting (My selection below)
?2000+ Arcades Games/Casinos
?Massive Community
?Dedicate…",100.0,1629189829169920000.0,.0,,.0,.0,25.0,25.0,neutral,1.0,.0,.0,neutral
2023-02-25 00:16:29,Mst Rubi AKter Jannaty I Endblock.io,1460487853767420000.0,,-1.0,en,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","CrickDAO is an attempt to bring cricket to the global map of fantasy sports. We are not trying to imitate any of the major sports betting platforms. Instead, we have created a fantasy cricket game on the metaverse.
#10kClub #Cricket #NFTs #CrickDAO",1.0,1629183497238880000.0,.3,created (0.26),.0,.3,49.0,50.0,positive,.0,.0,1.0,positive
2023-02-24 23:54:52,ArisNFT,1614553413748170000.0,,-1.0,en,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","RT @MillerRyan89: @BCBerc20 

?Working Product
?Live Betting (My selection below)
?2000+ Arcades Games/Casinos
?Massive Community
?Dedicate…",100.0,1629178057851540000.0,.0,,.0,.0,25.0,25.0,neutral,1.0,.0,.0,neutral
2023-02-24 23:54:49,Precious Intellect,1582392970577310000.0,,-1.0,en,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","RT @MillerRyan89: @BCBerc20 

?Working Product
?Live Betting (My selection below)
?2000+ Arcades Games/Casinos
?Massive Community
?Dedicate…",100.0,1629178046669370000.0,.0,,.0,.0,25.0,25.0,neutral,1.0,.0,.0,neutral
2023-02-24 23:54:34,Bsc Entri,1625793689615470000.0,,-1.0,en,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","RT @MillerRyan89: @BCBerc20 

?Working Product
?Live Betting (My selection below)
?2000+ Arcades Games/Casinos
?Massive Community
?Dedicate…",100.0,1629177982245010000.0,.0,,.0,.0,25.0,25.0,neutral,1.0,.0,.0,neutral
2023-02-24 23:54:26,Funky Teck,1566498125749140000.0,,-1.0,en,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","RT @MillerRyan89: @BCBerc20 

?Working Product
?Live Betting (My selection below)
?2000+ Arcades Games/Casinos
?Massive Community
?Dedicate…",100.0,1629177948786810000.0,.0,,.0,.0,25.0,25.0,neutral,1.0,.0,.0,neutral
2023-02-24 23:54:15,WorgNFT,1627175189644740000.0,,-1.0,en,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","RT @MillerRyan89: @BCBerc20 

?Working Product
?Live Betting (My selection below)
?2000+ Arcades Games/Casinos
?Massive Community
?Dedicate…",100.0,1629177901693410000.0,.0,,.0,.0,25.0,25.0,neutral,1.0,.0,.0,neutral
2023-02-24 23:54:10,Cared Minster,1566490878922860000.0,,-1.0,en,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","RT @MillerRyan89: @BCBerc20 

?Working Product
?Live Betting (My selection below)
?2000+ Arcades Games/Casinos
?Massive Community
?Dedicate…",100.0,1629177882579800000.0,.0,,.0,.0,25.0,25.0,neutral,1.0,.0,.0,neutral
2023-02-24 23:53:54,Open Heavens,1565087153842950000.0,,-1.0,en,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","RT @MillerRyan89: @BCBerc20 

?Working Product
?Live Betting (My selection below)
?2000+ Arcades Games/Casinos
?Massive Community
?Dedicate…",100.0,1629177816251080000.0,.0,,.0,.0,25.0,25.0,neutral,1.0,.0,.0,neutral
